orgao,ano,qtd_pedidos_lai,tempo_medio_resposta_dias,percentual_sem_resposta,percentual_acesso_concedido,percentual_acesso_negado,percentual_acesso_parcial,qtd_recursos_lai,taxa_recurso_lai
SEDES - Secretaria de Estado de Desenvolvimento Social do Distrito Federal,2023,476,7.43227472899729,31.092436974789916,28.361344537815125,6.722689075630252,2.100840336134454,20,0.04201680672268908
"SEDET - Secretaria de Estado de Desenvolvimento Econômico, Trabalho e Renda do Distrito Federal",2023,128,6.973802083333334,37.5,46.09375,4.6875,4.6875,7,0.0546875
SEDUH - Secretaria de Estado de Desenvolvimento Urbano e Habitação do Distrito Federal,2023,427,4.506872329059829,39.11007025761124,78.68852459016394,6.557377049180328,1.639344262295082,33,0.07728337236533958
SEE - Secretaria de Estado de Educação do Distrito Federal,2023,1400,10.741924732153606,34.07142857142857,72.71428571428571,2.214285714285714,1.6428571428571428,76,0.054285714285714284
SEFAZ - Secretaria de Estado de Fazenda do Distrito Federal,2023,696,5.193377616747182,40.51724137931034,41.810344827586206,4.597701149425287,4.022988505747127,56,0.08045977011494253
SEFJ - Secretaria de Estado da Família e Juventude do Distrito Federal,2023,62,9.780839646464646,29.03225806451613,22.58064516129032,9.67741935483871,11.29032258064516,1,0.016129032258064516
SEGOV - Secretaria de Estado de Governo,2023,165,2.183641975308642,45.45454545454545,15.757575757575756,0.6060606060606061,4.242424242424243,4,0.024242424242424242
SEJUS - Secretaria de Estado de Justiça e Cidadania do Distrito do Distrito Federal,2023,281,12.944085518102371,68.32740213523132,58.718861209964416,10.676156583629894,4.98220640569395,16,0.05693950177935943
SELDF - Secretaria de Estado do Esporte e Lazer do Distrito Federal,2023,158,5.367809139784947,60.75949367088608,87.9746835443038,0.0,1.2658227848101267,9,0.056962025316455694
SEMA - Secretaria de Estado do Meio Ambiente do Distrito Federal,2023,214,4.230938697318008,32.242990654205606,60.747663551401864,0.9345794392523363,1.8691588785046727,7,0.03271028037383177
