ano,regiao_administrativa,ra_chave,populacao_total,populacao_masculina,populacao_feminina,populacao_0_14,populacao_15_59,populacao_60_mais
2025,SIA,sia,2692.0,2202.0,490.0,121.0,2408.0,163.0
2023,Samambaia,samambaia,257172.0,124361.99999999999,132810.0,55321.0,174470.0,27381.0
2024,Samambaia,samambaia,261025.0,126248.00000000001,134777.0,55393.0,176417.0,29215.0
2025,Samambaia,samambaia,264403.0,127916.99999999999,136486.0,55503.999999999985,177833.0,31066.0
2023,Santa Maria,santa maria,132673.0,63753.0,68920.0,27493.0,90265.0,14915.0
2024,Santa Maria,santa maria,132582.0,63789.00000000001,68793.0,27278.000000000007,89504.0,15800.0
2025,Santa Maria,santa maria,132256.0,63718.0,68538.0,27082.000000000007,88490.0,16684.0
2023,Sobradinho,sobradinho,75026.0,35315.0,39711.0,13059.0,50021.0,11946.0
2024,Sobradinho,sobradinho,75421.0,35502.0,39919.0,12949.0,49929.0,12543.0
2025,Sobradinho,sobradinho,75710.0,35636.0,40074.0,12857.0,49703.0,13150.0
2023,Sobradinho II,sobradinho ii,79594.0,38328.0,41266.0,16038.0,51653.0,11903.0
2024,Sobradinho II,sobradinho ii,80006.0,38513.0,41493.0,15866.999999999998,51416.0,12723.0
2025,Sobradinho II,sobradinho ii,84744.0,40691.0,44053.0,16395.0,54413.0,13936.0
2023,Sol Nascente_Pôr do Sol,sol nascente por do sol,96703.0,48098.0,48605.0,21688.0,70250.0,4765.0
2024,Sol Nascente_Pôr do Sol,sol nascente por do sol,98447.0,48974.0,49473.0,21383.0,72019.0,5045.0
2025,Sol Nascente_Pôr do Sol,sol nascente por do sol,99984.0,49749.0,50235.0,21057.999999999996,73600.0,5326.0
2023,Sudoeste_Octogonal,sudoeste e octogonal,57096.0,26841.0,30255.0,8365.0,38758.0,9973.0
2024,Sudoeste_Octogonal,sudoeste e octogonal,57672.0,27107.0,30565.0,8204.000000000002,38856.0,10612.0
2025,Sudoeste_Octogonal,sudoeste e octogonal,58141.0,27319.0,30822.0,8055.999999999999,38832.0,11253.0
2023,São Sebastião,sao sebastiao,126603.00000000001,61917.000000000015,64686.0,30643.000000000004,87865.00000000001,8095.0
2024,São Sebastião,sao sebastiao,127443.00000000001,62322.000000000015,65121.0,30848.00000000001,87856.0,8739.0
2025,São Sebastião,sao sebastiao,128066.0,62625.0,65441.0,31054.0,87626.0,9386.0
2023,Taguatinga,taguatinga,214109.00000000003,98413.00000000001,115696.00000000001,33995.00000000002,140728.0,39386.0
2024,Taguatinga,taguatinga,215979.00000000003,99251.00000000001,116728.00000000001,33998.00000000002,140887.0,41094.0
2025,Taguatinga,taguatinga,217564.99999999997,99960.99999999999,117603.99999999999,34012.99999999998,140711.0,42841.0
2023,Varjão,varjao,9123.0,4463.0,4660.0,2139.0,6388.0,596.0
2024,Varjão,varjao,9211.0,4506.0,4705.0,2127.0,6447.0,637.0
2025,Varjão,varjao,9283.0,4541.0,4742.0,2120.0,6483.0,680.0
2023,Vicente Pires,vicente pires,80347.0,39699.0,40648.0,13217.0,56891.0,10239.0
2024,Vicente Pires,vicente pires,81256.0,40127.0,41129.0,13157.0,57217.0,10882.0
2025,Vicente Pires,vicente pires,82034.0,40491.0,41543.0,13107.000000000004,57395.0,11532.0
2023,Águas Claras,aguas claras,128144.0,60842.0,67302.0,28698.999999999993,89198.0,10247.0
2024,Águas Claras,aguas claras,129369.0,61448.0,67921.0,28817.999999999996,89673.0,10878.0
2025,Águas Claras,aguas claras,130342.0,61942.99999999999,68399.0,28930.999999999993,89898.0,11513.0
