ano,regiao_administrativa,ano_referencia_pdad,populacao_total,populacao_masculina,populacao_feminina,populacao_0_14,populacao_15_59,populacao_60_mais,renda_media_ponderada,idade_media_ponderada,media_moradores_por_domicilio,percentual_baixa_escolaridade,percentual_domicilios_com_internet,percentual_domicilios_proprios,percentual_domicilios_alugados,lai_df_qtd_pedidos_ano,lai_df_qtd_recursos_ano,lai_df_qtd_satisfacoes_ano,lai_df_percentual_pedidos_com_recurso,lai_df_tempo_medio_resposta_dias,lai_df_percentual_acesso_concedido,lai_df_percentual_acesso_negado,lai_df_percentual_acesso_parcial,lai_df_percentual_sem_resposta,lai_df_qtd_orgaos_demandados
2023,Arniqueira,2024,47516.0,23191.0,24325.0,8875.0,33832.0,4809.0,733.1048677668141,34.734166987055254,2.7185430463576155,31.10650623528417,96.19205298013243,63.24503311258277,30.463576158940395,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Arniqueira,2024,47767.0,23319.0,24448.0,8695.000000000002,34010.0,5062.0,733.1048677668141,34.734166987055254,2.7185430463576155,31.10650623528417,96.19205298013243,63.24503311258277,30.463576158940395,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Arniqueira,2024,47932.0,23407.0,24525.0,8525.0,34090.0,5317.0,733.1048677668141,34.734166987055254,2.7185430463576155,31.10650623528417,96.19205298013243,63.24503311258277,30.463576158940395,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,Brazlândia,2024,65773.0,32287.0,33486.0,13959.0,44159.0,7655.0,765.1016524230283,33.46134411788188,2.852130325814537,36.08766352877053,89.47368421052633,58.14536340852132,28.320802005012535,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Brazlândia,2024,66304.0,32521.0,33783.0,13871.000000000002,44418.0,8015.0,765.1016524230283,33.46134411788188,2.852130325814537,36.08766352877053,89.47368421052633,58.14536340852132,28.320802005012535,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Brazlândia,2024,66729.0,32702.0,34027.0,13792.0,44554.0,8383.0,765.1016524230283,33.46134411788188,2.852130325814537,36.08766352877053,89.47368421052633,58.14536340852132,28.320802005012535,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,Candangolândia,2024,16216.0,7750.0,8466.0,2788.0,10814.0,2614.0,1042.9030173076326,36.18237241723436,2.642679900744417,27.481784791834762,91.0669975186104,55.086848635235725,41.935483870967744,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Candangolândia,2024,16170.0,7730.0,8440.0,2748.0,10703.0,2719.0,1042.9030173076326,36.18237241723436,2.642679900744417,27.481784791834762,91.0669975186104,55.086848635235725,41.935483870967744,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
2025,Candangolândia,2024,16093.999999999998,7695.999999999998,8398.0,2710.0,10564.999999999998,2819.0,1042.9030173076326,36.18237241723436,2.642679900744417,27.481784791834762,91.0669975186104,55.086848635235725,41.935483870967744,27256,1293,2110,4.582477252714998,8.049169345015336,53.47079542119167,8.710008805400646,3.6982682712063397,16.667889638978572,96
2023,Ceilândia,2024,355620.0,168550.0,187070.0,66820.99999999999,241336.0,47463.0,693.0657597083044,34.84899583638142,2.8517857142857137,34.524654724347116,94.10714285714286,51.78571428571428,40.357142857142854,20608,1317,2601,6.298524844720497,8.5845929344974,54.87674689440993,6.885675465838509,3.838315217391304,43.49281832298137,96
2024,Ceilândia,2024,356361.0,168814.99999999994,187546.0,65970.0,241256.99999999997,49134.0,693.0657597083044,34.84899583638142,2.8517857142857137,34.524654724347116,94.10714285714286,51.78571428571428,40.357142857142854,23082,1388,2658,5.861710423706785,7.569385669421197,52.90269474049043,9.253964127891864,4.18074690234815,17.689108396152847,96
